[Mon Oct 06 11:50:41 2014] [error] (2)No such file or directory: could not open transfer log file /home/projetx/ProjetX/dev/www/ProjetX/public/data/apache/access.log.
[Mon Oct 06 11:51:30 2014] [error] (2)No such file or directory: could not open transfer log file /home/projetx/ProjetX/dev/www/ProjetX/public/data/apache/access.log.
[Mon Oct 06 11:52:09 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /
[Mon Oct 06 11:52:09 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /favicon.ico
[Mon Oct 06 11:54:06 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:54:06 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:13 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:55:13 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:15 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:55:15 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:17 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:55:17 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:25 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /
[Mon Oct 06 11:55:26 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /favicon.ico
[Mon Oct 06 11:57:48 2014] [error] [client 194.57.110.241] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Unable to load ZF2. Run `php composer.phar install` or define a ZF2_PATH environment variable.' in /home/projetx/ProjetX/dev/www/ProjetX/init_autoloader.php:53\nStack trace:\n#0 /home/projetx/ProjetX/dev/www/ProjetX/public/index.php(14): require()\n#1 {main}\n  thrown in /home/projetx/ProjetX/dev/www/ProjetX/init_autoloader.php on line 53
[Mon Oct 06 11:57:49 2014] [error] [client 194.57.110.241] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Unable to load ZF2. Run `php composer.phar install` or define a ZF2_PATH environment variable.' in /home/projetx/ProjetX/dev/www/ProjetX/init_autoloader.php:53\nStack trace:\n#0 /home/projetx/ProjetX/dev/www/ProjetX/public/index.php(14): require()\n#1 {main}\n  thrown in /home/projetx/ProjetX/dev/www/ProjetX/init_autoloader.php on line 53
[Mon Oct 06 19:48:27.310325 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP Fatal error:  Call to undefined method Utilisateur\\Form\\InscriptionForm::getMessage() in /home/zeus/Applications/ProjetX/module/Utilisateur/view/utilisateur/authentification/login.phtml on line 127, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310358 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP Stack trace:, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310370 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   1. {main}() /home/zeus/Applications/ProjetX/public/index.php:0, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310377 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   2. Zend\\Mvc\\Application->run() /home/zeus/Applications/ProjetX/public/index.php:17, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310383 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   3. Zend\\Mvc\\Application->completeRequest() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:327, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310396 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   4. Zend\\EventManager\\EventManager->trigger() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:352, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310401 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   5. Zend\\EventManager\\EventManager->triggerListeners() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310406 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   6. call_user_func() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310411 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   7. Zend\\Mvc\\View\\Http\\DefaultRenderingStrategy->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310416 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   8. Zend\\View\\View->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/View/Http/DefaultRenderingStrategy.php:102, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310422 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP   9. Zend\\View\\View->renderChildren() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:198, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310427 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP  10. Zend\\View\\View->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:233, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:27.310432 2014] [:error] [pid 1638] [client 127.0.0.1:42784] PHP  11. Zend\\View\\Renderer\\PhpRenderer->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:205, referer: http://projetx.local/inscription
